country,date,total_vaccinations,daily_vaccinations
Bolivia,2021-03-02,19487.0,491.0
Bolivia,2021-03-03,19865.0,474.0
Bolivia,2021-03-04,20025.0,427.0
Bolivia,2021-03-05,20110.0,369.0
Bolivia,2021-03-06,106182.0,12595.0
Bolivia,2021-03-07,106905.0,12628.0
Bolivia,2021-03-08,112066.0,13296.0
Bolivia,2021-03-09,119080.0,14228.0
Bolivia,2021-03-10,126889.0,15289.0
Bolivia,2021-03-11,132286.0,16037.0
Bolivia,2021-03-12,137150.0,16720.0
Bolivia,2021-03-13,137787.0,4515.0
Bolivia,2021-03-14,138218.0,4473.0
Brazil,2021-03-01,8465403.0,205292.0
Brazil,2021-03-02,8841027.0,220567.0
Brazil,2021-03-03,9277322.0,246521.0
Brazil,2021-03-04,9739676.0,277239.0
Brazil,2021-03-05,10169160.0,295339.0
Brazil,2021-03-06,,269398.0
Brazil,2021-03-07,,258989.0
Brazil,2021-03-08,,259965.0
Brazil,2021-03-09,,211828.0
Brazil,2021-03-10,10362487.0,155024.0
Brazil,2021-03-11,10740859.0,143026.0
Brazil,2021-03-12,11149530.0,140053.0
Brazil,2021-03-13,11362190.0,164909.0
Brazil,2021-03-14,11422666.0,168025.0
Bulgaria,2021-03-01,223539.0,13211.0
Bulgaria,2021-03-02,243772.0,13649.0
Bulgaria,2021-03-03,248169.0,11387.0
Bulgaria,2021-03-04,268544.0,11433.0
Bulgaria,2021-03-05,284464.0,11432.0
Bulgaria,2021-03-06,287118.0,11051.0
Bulgaria,2021-03-07,288631.0,10884.0
Bulgaria,2021-03-08,294132.0,10085.0
Bulgaria,2021-03-09,302151.0,8340.0
Bulgaria,2021-03-10,309145.0,8711.0
Bulgaria,2021-03-11,324446.0,7986.0
Bulgaria,2021-03-12,336660.0,7457.0
Bulgaria,2021-03-13,337904.0,7255.0
Bulgaria,2021-03-14,338879.0,7178.0
Cambodia,2021-03-01,24331.0,2479.0
Cambodia,2021-03-02,33211.0,3634.0
Cambodia,2021-03-03,40910.0,4354.0
Cambodia,2021-03-04,,5208.0
Cambodia,2021-03-05,,6042.0
Cambodia,2021-03-06,66847.0,6876.0
Cambodia,2021-03-07,71185.0,7094.0
Cambodia,2021-03-08,77963.0,7662.0
Cambodia,2021-03-09,89506.0,8042.0
Cambodia,2021-03-10,109854.0,9849.0
Cambodia,2021-03-11,129908.0,11479.0
Cambodia,2021-03-12,147591.0,12770.0
Cambodia,2021-03-13,161818.0,13567.0
Cambodia,2021-03-14,170659.0,14211.0
Canada,2021-03-01,1946200.0,55441.0
Canada,2021-03-02,2018238.0,58824.0
Canada,2021-03-03,2091700.0,62734.0
Canada,2021-03-04,2169417.0,65423.0
Canada,2021-03-05,2255174.0,68067.0
Canada,2021-03-06,2329622.0,69884.0
Canada,2021-03-07,2387189.0,71447.0
Canada,2021-03-08,2473868.0,75381.0
Canada,2021-03-09,2543253.0,75002.0
Canada,2021-03-10,2621289.0,75656.0
Canada,2021-03-11,2719317.0,78557.0
Canada,2021-03-12,2830164.0,82141.0
Canada,2021-03-13,2934007.0,86341.0
Canada,2021-03-14,3026665.0,91354.0
Cayman Islands,2021-03-01,,528.0
Cayman Islands,2021-03-02,,512.0
Cayman Islands,2021-03-03,24008.0,506.0
Cayman Islands,2021-03-04,,598.0
Cayman Islands,2021-03-05,26580.0,713.0
Cayman Islands,2021-03-06,,754.0
Cayman Islands,2021-03-07,,795.0
Cayman Islands,2021-03-08,,836.0
Cayman Islands,2021-03-09,,877.0
Cayman Islands,2021-03-10,,918.0
Cayman Islands,2021-03-11,,845.0
Cayman Islands,2021-03-12,31980.0,771.0
Chile,2021-03-01,3505745.0,70250.0
Chile,2021-03-02,3676897.0,81260.0
Chile,2021-03-03,3988157.0,113424.0
Chile,2021-03-04,4297986.0,145424.0
Chile,2021-03-05,4594458.0,176618.0
Chile,2021-03-06,4628344.0,180030.0
Chile,2021-03-07,4636250.0,181109.0
Chile,2021-03-08,4985498.0,211393.0
Chile,2021-03-09,5360348.0,240493.0
Chile,2021-03-10,5757809.0,252807.0
Chile,2021-03-11,6169762.0,267397.0
Chile,2021-03-12,6537232.0,277539.0
Chile,2021-03-13,6585891.0,279650.0
Chile,2021-03-14,6591788.0,279363.0
Colombia,2021-03-01,149133.0,14852.0
Colombia,2021-03-02,169619.0,17353.0
Colombia,2021-03-03,191480.0,20137.0
Colombia,2021-03-04,206475.0,20045.0
Colombia,2021-03-05,239851.0,22645.0
Colombia,2021-03-06,270411.0,22338.0
Colombia,2021-03-07,296240.0,23666.0
Colombia,2021-03-08,316079.0,23849.0
Colombia,2021-03-09,360635.0,27288.0
Colombia,2021-03-10,480250.0,41253.0
Colombia,2021-03-11,589208.0,54676.0
Colombia,2021-03-12,693490.0,64806.0
Colombia,2021-03-13,782301.0,73127.0
Costa Rica,2021-03-01,149812.0,6947.0
Costa Rica,2021-03-02,,7072.0
Costa Rica,2021-03-03,,7198.0
Costa Rica,2021-03-04,,7323.0
Costa Rica,2021-03-05,,7449.0
Costa Rica,2021-03-06,,7574.0
Costa Rica,2021-03-07,,7699.0
Costa Rica,2021-03-08,204586.0,7825.0
Costa Rica,2021-03-09,,8033.0
Costa Rica,2021-03-10,,8242.0
Costa Rica,2021-03-11,,8450.0
Costa Rica,2021-03-12,241724.0,8659.0
Cote d'Ivoire,2021-03-01,0.0,
Cote d'Ivoire,2021-03-02,,412.0
Cote d'Ivoire,2021-03-03,,412.0
Cote d'Ivoire,2021-03-04,,412.0
Cote d'Ivoire,2021-03-05,,412.0
Cote d'Ivoire,2021-03-06,2058.0,412.0
Cote d'Ivoire,2021-03-07,,415.0
Cote d'Ivoire,2021-03-08,2924.0,418.0
Cote d'Ivoire,2021-03-09,4363.0,564.0
Cote d'Ivoire,2021-03-10,8802.0,1140.0
Cote d'Ivoire,2021-03-11,,1300.0
Cote d'Ivoire,2021-03-12,,1460.0
Cote d'Ivoire,2021-03-13,,1621.0
Cote d'Ivoire,2021-03-14,14937.0,1778.0
Croatia,2021-03-01,213068.0,6703.0
Croatia,2021-03-02,,6800.0
Croatia,2021-03-03,,6897.0
Croatia,2021-03-04,242000.0,6819.0
Croatia,2021-03-05,,6977.0
Croatia,2021-03-06,,7135.0
Croatia,2021-03-07,,7293.0
Croatia,2021-03-08,265223.0,7451.0
Croatia,2021-03-09,,7349.0
Croatia,2021-03-10,,7248.0
Croatia,2021-03-11,,7146.0
Croatia,2021-03-12,300956.0,7593.0
Cyprus,2021-03-01,,3129.0
Cyprus,2021-03-02,,3126.0
Cyprus,2021-03-03,,2939.0
Cyprus,2021-03-04,,2753.0
Cyprus,2021-03-05,,2567.0
Cyprus,2021-03-06,,2567.0
Cyprus,2021-03-07,99275.0,2567.0
Czechia,2021-03-01,683010.0,15924.0
Czechia,2021-03-02,713012.0,17431.0
Czechia,2021-03-03,747076.0,19499.0
Czechia,2021-03-04,783576.0,21430.0
Czechia,2021-03-05,816381.0,23132.0
Czechia,2021-03-06,828387.0,24359.0
Czechia,2021-03-07,839949.0,25603.0
Czechia,2021-03-08,873177.0,27167.0
Czechia,2021-03-09,914279.0,28752.0
Czechia,2021-03-10,960675.0,30514.0
Czechia,2021-03-11,1010711.0,32448.0
Czechia,2021-03-12,1053823.0,33920.0
Czechia,2021-03-13,1070708.0,34617.0
Czechia,2021-03-14,1081907.0,34565.0
Denmark,2021-03-01,635621.0,17909.0
Denmark,2021-03-02,653607.0,18142.0
Denmark,2021-03-03,667625.0,17908.0
Denmark,2021-03-04,686829.0,18497.0
Denmark,2021-03-05,709129.0,16407.0
Denmark,2021-03-06,727771.0,17908.0
Denmark,2021-03-07,744203.0,18481.0
Denmark,2021-03-08,760139.0,17788.0
Denmark,2021-03-09,778313.0,17815.0
Denmark,2021-03-10,797678.0,18579.0
Denmark,2021-03-11,810200.0,17624.0
Denmark,2021-03-12,823968.0,16406.0
Denmark,2021-03-13,834041.0,15181.0
Dominica,2021-03-01,7202.0,400.0
Dominican Republic,2021-03-01,60000.0,5956.0
Dominican Republic,2021-03-02,105000.0,11806.0
Dominican Republic,2021-03-03,161827.0,19347.0
Dominican Republic,2021-03-04,227719.0,27800.0
Dominican Republic,2021-03-05,303490.0,37664.0
Dominican Republic,2021-03-06,375265.0,46958.0
Dominican Republic,2021-03-07,,47768.0
Dominican Republic,2021-03-08,400041.0,48577.0
Dominican Republic,2021-03-09,480237.0,53605.0
Dominican Republic,2021-03-10,547091.0,55038.0
Dominican Republic,2021-03-11,660000.0,61754.0
Ecuador,2021-03-01,42114.0,3183.0
Ecuador,2021-03-02,,3669.0
Ecuador,2021-03-03,,4156.0
Ecuador,2021-03-04,59316.0,4471.0
Ecuador,2021-03-05,71148.0,5658.0
Ecuador,2021-03-06,,5313.0
Ecuador,2021-03-07,,4968.0
Ecuador,2021-03-08,74472.0,4623.0
Ecuador,2021-03-09,75258.0,3916.0
Ecuador,2021-03-10,,4572.0
Ecuador,2021-03-11,95915.0,5228.0
Ecuador,2021-03-12,123176.0,7433.0
Ecuador,2021-03-13,139359.0,9586.0
El Salvador,2021-03-01,,1731.0
El Salvador,2021-03-02,,1331.0
El Salvador,2021-03-03,,930.0
El Salvador,2021-03-04,,529.0
El Salvador,2021-03-05,,529.0
El Salvador,2021-03-06,,529.0
El Salvador,2021-03-07,,529.0
El Salvador,2021-03-08,,529.0
El Salvador,2021-03-09,,529.0
El Salvador,2021-03-10,,529.0
El Salvador,2021-03-11,,529.0
El Salvador,2021-03-12,,529.0
El Salvador,2021-03-13,,529.0
El Salvador,2021-03-14,25000.0,529.0
England,2021-03-01,17985951.0,336288.0
England,2021-03-02,18194919.0,324072.0
England,2021-03-03,18469922.0,304623.0
England,2021-03-04,18835355.0,292788.0
England,2021-03-05,19258271.0,286204.0
England,2021-03-06,19663577.0,288826.0
England,2021-03-07,19812818.0,285726.0
England,2021-03-08,20020354.0,290629.0
England,2021-03-09,20248632.0,293388.0
England,2021-03-10,20526312.0,293770.0
England,2021-03-11,20807385.0,281719.0
England,2021-03-12,21187615.0,275621.0
England,2021-03-13,21683887.0,288616.0
Estonia,2021-03-01,112809.0,3431.0
Estonia,2021-03-02,116276.0,3499.0
Estonia,2021-03-03,,3578.0
Estonia,2021-03-04,126848.0,4267.0
Estonia,2021-03-05,134504.0,4356.0
Estonia,2021-03-06,,4130.0
Estonia,2021-03-07,145394.0,4781.0
Estonia,2021-03-08,,4990.0
Estonia,2021-03-09,150080.0,4829.0
Estonia,2021-03-10,155175.0,4802.0
Estonia,2021-03-11,161693.0,4978.0
Estonia,2021-03-12,,5220.0
Estonia,2021-03-13,180400.0,5779.0
Estonia,2021-03-14,185912.0,5788.0
Faeroe Islands,2021-03-01,,140.0
Faeroe Islands,2021-03-02,,105.0
Faeroe Islands,2021-03-03,7041.0,47.0
Faeroe Islands,2021-03-04,7394.0,91.0
Faeroe Islands,2021-03-05,7563.0,108.0
Faeroe Islands,2021-03-06,7925.0,153.0
Faeroe Islands,2021-03-07,,157.0
Faeroe Islands,2021-03-08,8068.0,160.0
Faeroe Islands,2021-03-09,,181.0
Faeroe Islands,2021-03-10,,201.0
Faeroe Islands,2021-03-11,,178.0
Faeroe Islands,2021-03-12,8832.0,181.0
Finland,2021-03-01,466538.0,14014.0
Finland,2021-03-02,,14877.0
Finland,2021-03-03,487619.0,15740.0
Finland,2021-03-04,509187.0,16047.0
Finland,2021-03-05,532902.0,15157.0
Finland,2021-03-06,565456.0,17541.0
Finland,2021-03-07,,16275.0
Finland,2021-03-08,566387.0,14264.0
Finland,2021-03-09,575749.0,14096.0
Finland,2021-03-10,600476.0,16122.0
Finland,2021-03-11,625039.0,16550.0
Finland,2021-03-12,651289.0,16912.0
Finland,2021-03-13,674128.0,15525.0
Finland,2021-03-14,682945.0,16718.0
France,2021-03-01,4675887.0,119645.0
France,2021-03-02,4839444.0,123529.0
France,2021-03-03,5016763.0,129283.0
France,2021-03-04,5232095.0,133360.0
France,2021-03-05,5484624.0,143732.0
France,2021-03-06,5692974.0,163229.0
France,2021-03-07,5807779.0,178131.0
France,2021-03-08,5972593.0,185244.0
France,2021-03-09,6197209.0,193966.0
France,2021-03-10,6427037.0,201468.0
France,2021-03-11,6722229.0,212876.0
France,2021-03-12,7058746.0,224875.0
France,2021-03-13,7292852.0,228554.0
Germany,2021-03-01,6322062.0,165700.0
Germany,2021-03-02,6533194.0,172868.0
Germany,2021-03-03,6767187.0,181536.0
Germany,2021-03-04,7000267.0,188873.0
Germany,2021-03-05,7253333.0,196517.0
Germany,2021-03-06,7450371.0,203758.0
Germany,2021-03-07,7599865.0,209636.0
Germany,2021-03-08,7830467.0,215486.0
Germany,2021-03-09,8069645.0,219493.0
Germany,2021-03-10,8337410.0,224318.0
Germany,2021-03-11,8607142.0,229554.0
Germany,2021-03-12,8863270.0,229991.0
Ghana,2021-03-01,0.0,
Ghana,2021-03-02,,28893.0
Ghana,2021-03-03,,28893.0
Ghana,2021-03-04,,28893.0
Ghana,2021-03-05,,28893.0
Ghana,2021-03-06,,28893.0
Ghana,2021-03-07,,28893.0
Ghana,2021-03-08,202252.0,28893.0
Ghana,2021-03-09,,31748.0
Ghana,2021-03-10,300000.0,34602.0
Gibraltar,2021-03-01,,829.0
Gibraltar,2021-03-02,38056.0,764.0
Gibraltar,2021-03-03,39322.0,850.0
Gibraltar,2021-03-04,40652.0,865.0
Gibraltar,2021-03-05,41318.0,775.0
Gibraltar,2021-03-06,42548.0,820.0
Gibraltar,2021-03-07,43712.0,986.0
Gibraltar,2021-03-08,43712.0,897.0
Gibraltar,2021-03-09,44240.0,883.0
Gibraltar,2021-03-10,44894.0,796.0
Gibraltar,2021-03-11,44894.0,606.0
Gibraltar,2021-03-12,45488.0,596.0
Gibraltar,2021-03-13,46136.0,513.0
Gibraltar,2021-03-14,46136.0,346.0
Greece,2021-03-01,921189.0,27254.0
Greece,2021-03-02,957139.0,27788.0
Greece,2021-03-03,991409.0,28152.0
Greece,2021-03-04,1024711.0,28334.0
Greece,2021-03-05,1059304.0,28857.0
Greece,2021-03-06,1091749.0,29418.0
Greece,2021-03-07,,29343.0
Greece,2021-03-08,1126060.0,29267.0
Greece,2021-03-09,1158386.0,28750.0
Greece,2021-03-10,1190723.0,28473.0
Greece,2021-03-11,1222393.0,28240.0
Greece,2021-03-12,1254087.0,27826.0
Greece,2021-03-13,1283472.0,27389.0
Greenland,2021-03-01,5130.0,77.0
Guatemala,2021-03-01,2427.0,607.0
Guatemala,2021-03-02,,836.0
Guatemala,2021-03-03,,988.0
Guatemala,2021-03-04,,1098.0
Guatemala,2021-03-05,,1189.0
Guatemala,2021-03-06,,1280.0
Guatemala,2021-03-07,,1516.0
Guatemala,2021-03-08,,1752.0
Guatemala,2021-03-09,,1752.0
Guatemala,2021-03-10,,1752.0
Guatemala,2021-03-11,19947.0,1752.0
Guatemala,2021-03-12,28534.0,2728.0
Guatemala,2021-03-13,30890.0,2815.0
Guernsey,2021-03-01,,256.0
Guernsey,2021-03-02,22040.0,285.0
Guernsey,2021-03-03,,349.0
Guernsey,2021-03-04,,413.0
Guernsey,2021-03-05,,477.0
Guernsey,2021-03-06,,542.0
Guernsey,2021-03-07,,606.0
Guernsey,2021-03-08,,670.0
Guernsey,2021-03-09,,734.0
Guernsey,2021-03-10,,734.0
Guernsey,2021-03-11,,734.0
Guernsey,2021-03-12,29383.0,734.0
Hong Kong,2021-03-01,27000.0,3686.0
Hong Kong,2021-03-02,40000.0,5371.0
Hong Kong,2021-03-03,51800.0,6886.0
Hong Kong,2021-03-04,62000.0,8171.0
Hong Kong,2021-03-05,72300.0,9471.0
Hong Kong,2021-03-06,83700.0,10014.0
Hong Kong,2021-03-07,93000.0,10429.0
Hong Kong,2021-03-08,103800.0,10971.0
Hong Kong,2021-03-09,113500.0,10500.0
Hong Kong,2021-03-10,130500.0,11243.0
Hong Kong,2021-03-11,145800.0,11971.0
Hong Kong,2021-03-12,162100.0,12829.0
Hong Kong,2021-03-13,177000.0,13329.0
Hong Kong,2021-03-14,190700.0,13957.0
Hungary,2021-03-01,974524.0,44530.0
Hungary,2021-03-02,1011405.0,47365.0
Hungary,2021-03-03,1052593.0,47635.0
Hungary,2021-03-04,1142680.0,54396.0
Hungary,2021-03-05,1254377.0,63767.0
Hungary,2021-03-06,1288974.0,51685.0
Hungary,2021-03-07,1310643.0,53386.0
Hungary,2021-03-08,1361530.0,55287.0
Hungary,2021-03-09,1425697.0,59185.0
Hungary,2021-03-10,1476985.0,60627.0
Hungary,2021-03-11,1581521.0,62692.0
Hungary,2021-03-12,1670757.0,59483.0
Hungary,2021-03-13,1711969.0,60428.0
Hungary,2021-03-14,1733557.0,60416.0
Iceland,2021-03-01,33683.0,846.0
Iceland,2021-03-02,33835.0,843.0
Iceland,2021-03-03,,975.0
Iceland,2021-03-04,39196.0,1106.0
Iceland,2021-03-05,39749.0,1085.0
Iceland,2021-03-06,,1120.0
Iceland,2021-03-07,,1156.0
Iceland,2021-03-08,42027.0,1192.0
Iceland,2021-03-09,,1362.0
Iceland,2021-03-10,,1171.0
Iceland,2021-03-11,46052.0,979.0
Iceland,2021-03-12,46862.0,1016.0
India,2021-03-01,14854136.0,490006.0
India,2021-03-02,15620749.0,530480.0
India,2021-03-03,16616048.0,607059.0
India,2021-03-04,18005503.0,705494.0
India,2021-03-05,19497704.0,820109.0
India,2021-03-06,20922344.0,954257.0
India,2021-03-07,20989010.0,955392.0
India,2021-03-08,23008733.0,1164942.0
India,2021-03-09,24367906.0,1249594.0
India,2021-03-10,25685011.0,1295566.0
India,2021-03-11,26164920.0,1165631.0
India,2021-03-12,28218457.0,1245822.0
India,2021-03-13,29738409.0,1259438.0
India,2021-03-14,29908038.0,1274147.0
Indonesia,2021-03-01,2838509.0,116146.0
Indonesia,2021-03-02,3023348.0,137640.0
Indonesia,2021-03-03,3386351.0,171080.0
Indonesia,2021-03-04,,163084.0
Indonesia,2021-03-05,3528152.0,154100.0
Indonesia,2021-03-06,,168116.0
Indonesia,2021-03-07,4022544.0,190340.0
Indonesia,2021-03-08,,207959.0
Indonesia,2021-03-09,,220364.0
Indonesia,2021-03-10,4837576.0,207318.0
Indonesia,2021-03-11,4991674.0,219203.0
Indonesia,2021-03-12,5108536.0,225769.0
Indonesia,2021-03-13,5440432.0,237869.0
Indonesia,2021-03-14,5480346.0,208257.0
Ireland,2021-03-01,446474.0,12408.0
Ireland,2021-03-02,460637.0,12480.0
Ireland,2021-03-03,,12271.0
Ireland,2021-03-04,493873.0,12049.0
Ireland,2021-03-05,513322.0,12465.0
Ireland,2021-03-06,523069.0,12453.0
Ireland,2021-03-07,525768.0,12284.0
Ireland,2021-03-08,536617.0,12878.0
Ireland,2021-03-09,553161.0,13218.0
Ireland,2021-03-10,570391.0,13305.0
Ireland,2021-03-11,589512.0,13663.0
Isle of Man,2021-03-01,21998.0,599.0
Isle of Man,2021-03-02,22785.0,678.0
Isle of Man,2021-03-03,23429.0,729.0
Isle of Man,2021-03-04,23438.0,663.0
Isle of Man,2021-03-05,23883.0,571.0
Isle of Man,2021-03-06,24309.0,497.0
Isle of Man,2021-03-07,24798.0,478.0
Isle of Man,2021-03-08,25086.0,441.0
Isle of Man,2021-03-09,26172.0,484.0
Isle of Man,2021-03-10,27326.0,557.0
Isle of Man,2021-03-11,28431.0,713.0
Isle of Man,2021-03-12,29794.0,844.0
Isle of Man,2021-03-13,31026.0,960.0
Isle of Man,2021-03-14,32027.0,1033.0
Israel,2021-03-01,8233216.0,97301.0
Israel,2021-03-02,8338458.0,91344.0
Israel,2021-03-03,8446696.0,89179.0
Israel,2021-03-04,8562281.0,89198.0
Israel,2021-03-05,8615897.0,88870.0
Israel,2021-03-06,8651794.0,88570.0
Israel,2021-03-07,8755263.0,89814.0
Israel,2021-03-08,8862872.0,89951.0
Israel,2021-03-09,8979133.0,91525.0
Israel,2021-03-10,9074265.0,89653.0
Israel,2021-03-11,9180650.0,88338.0
Israel,2021-03-12,9232984.0,88155.0
Israel,2021-03-13,9266002.0,87744.0
Israel,2021-03-14,9374827.0,88509.0
Italy,2021-03-01,4483686.0,117447.0
Italy,2021-03-02,4641708.0,124947.0
Italy,2021-03-03,4824612.0,133874.0
Italy,2021-03-04,5016979.0,143272.0
Italy,2021-03-05,5216371.0,152660.0
Italy,2021-03-06,5389662.0,159525.0
Italy,2021-03-07,5488572.0,162577.0
Italy,2021-03-08,5662124.0,168348.0
Italy,2021-03-09,5846580.0,172125.0
Italy,2021-03-10,6050694.0,175155.0
Italy,2021-03-11,6259134.0,177451.0
Italy,2021-03-12,6455902.0,177076.0
Italy,2021-03-13,6620011.0,175764.0
Italy,2021-03-14,6715732.0,175309.0
Japan,2021-03-01,31785.0,2836.0
Japan,2021-03-02,34772.0,2837.0
Japan,2021-03-03,37303.0,2774.0
Japan,2021-03-04,39174.0,2468.0
Japan,2021-03-05,46469.0,2563.0
Japan,2021-03-06,,3566.0
Japan,2021-03-07,,4570.0
Japan,2021-03-08,70796.0,5573.0
Japan,2021-03-09,107558.0,10398.0
Japan,2021-03-10,148950.0,15950.0
Japan,2021-03-11,181184.0,20287.0
Japan,2021-03-12,230542.0,26296.0
Jersey,2021-03-01,,635.0
Jersey,2021-03-02,,670.0
